name,label
cnn/input/0.png,1
cnn/input/1.png,0
cnn/input/2.png,0
cnn/input/3.png,1
cnn/input/4.png,0
cnn/input/5.png,0
cnn/input/6.png,0
cnn/input/7.png,0
cnn/input/8.png,1
cnn/input/9.png,0
cnn/input/10.png,0
cnn/input/11.png,0
cnn/input/12.png,0
cnn/input/13.png,0
cnn/input/14.png,0
cnn/input/15.png,0
cnn/input/16.png,0
cnn/input/17.png,0
cnn/input/18.png,0
cnn/input/19.png,0
cnn/input/20.png,0
cnn/input/21.png,1
cnn/input/22.png,0
cnn/input/23.png,0
cnn/input/24.png,1
cnn/input/25.png,0
cnn/input/26.png,0
cnn/input/27.png,0
cnn/input/28.png,0
cnn/input/29.png,0
cnn/input/30.png,1
cnn/input/31.png,0
cnn/input/32.png,0
cnn/input/33.png,1
cnn/input/34.png,1
cnn/input/35.png,0
cnn/input/36.png,0
cnn/input/37.png,0
cnn/input/38.png,1
cnn/input/39.png,0
cnn/input/40.png,0
cnn/input/41.png,0
cnn/input/42.png,0
cnn/input/43.png,0
cnn/input/44.png,0
cnn/input/45.png,1
cnn/input/46.png,0
cnn/input/47.png,1
cnn/input/48.png,0
cnn/input/49.png,0
cnn/input/50.png,0
cnn/input/51.png,0
cnn/input/52.png,0
cnn/input/53.png,0
cnn/input/54.png,0
cnn/input/55.png,0
cnn/input/56.png,0
cnn/input/57.png,1
cnn/input/58.png,1
cnn/input/59.png,0
cnn/input/60.png,0
cnn/input/61.png,0
cnn/input/62.png,0
cnn/input/63.png,0
cnn/input/64.png,1
cnn/input/65.png,0
cnn/input/66.png,0
cnn/input/67.png,0
cnn/input/68.png,0
cnn/input/69.png,0
cnn/input/70.png,0
cnn/input/71.png,0
cnn/input/72.png,0
cnn/input/73.png,0
cnn/input/74.png,0
cnn/input/75.png,1
cnn/input/76.png,0
cnn/input/77.png,0
cnn/input/78.png,0
cnn/input/79.png,0
cnn/input/80.png,0
cnn/input/81.png,0
cnn/input/82.png,1
cnn/input/83.png,0
cnn/input/84.png,0
cnn/input/85.png,0
cnn/input/86.png,0
cnn/input/87.png,0
cnn/input/88.png,0
cnn/input/89.png,0
cnn/input/90.png,0
cnn/input/91.png,0
cnn/input/92.png,0
cnn/input/93.png,0
cnn/input/94.png,0
cnn/input/95.png,0
cnn/input/96.png,0
cnn/input/97.png,0
cnn/input/98.png,1
cnn/input/99.png,0
cnn/input/100.png,1
